development server only. no energy number from this machine means anything.
model models/Qwen3-1.7B-BF16.gguf
ctx   3072  (config.CTX_SIZE is 3072)
flags --n-gpu-layers 999 --parallel 1 --no-context-shift --no-mmap --no-cont-batching
0.00.083.827 W DEPRECATED: --mmap and --no-mmap are deprecated. use --load-mode mmap instead
0.00.083.990 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.084.723 W srv  llama_server: -----------------
0.00.084.724 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.084.724 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.084.725 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.084.725 W srv  llama_server: -----------------
0.00.086.185 I srv    load_model: loading model 'models/Qwen3-1.7B-BF16.gguf'
0.00.280.154 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.414.293 I cmn          init: llama threadpool init, n_threads = 8
0.02.476.643 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 3072, kv_unified = 'false'
0.02.483.404 I srv  llama_server: model loaded
0.02.483.419 I srv  llama_server: listening on http://127.0.0.1:8080
0.02.483.420 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.02.483.420 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
7.34.746.879 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
7.34.746.962 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
7.38.240.709 I slot print_timing: id  0 | task 0 | n_gen =    166, tg =  54.74 t/s, tg_3s =  55.07 t/s
7.38.753.053 I slot print_timing: id  0 | task 0 | prompt eval time =     479.56 ms /     9 tokens (   53.28 ms per token,    18.77 tokens per second)
7.38.753.056 I slot print_timing: id  0 | task 0 |        eval time =    3526.46 ms /   200 tokens (   17.72 ms per token,    56.43 tokens per second)
7.38.753.056 I slot print_timing: id  0 | task 0 |       total time =    4006.02 ms /   209 tokens
7.38.753.057 I slot print_timing: id  0 | task 0 |    graphs reused =        199
7.38.753.082 I slot      release: id  0 | task 0 | stop processing: n_tokens = 208, truncated = 0
39.08.365.213 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7585690363759
39.08.380.086 I slot launch_slot_: id  0 | task 201 | processing task, is_child = 0
39.11.070.328 I slot print_timing: id  0 | task 201 | prompt eval time =     570.10 ms /   179 tokens (    3.18 ms per token,   313.98 tokens per second)
39.11.070.330 I slot print_timing: id  0 | task 201 |        eval time =    2120.13 ms /   138 tokens (   15.48 ms per token,    64.62 tokens per second)
39.11.070.331 I slot print_timing: id  0 | task 201 |       total time =    2690.22 ms /   317 tokens
39.11.070.331 I slot print_timing: id  0 | task 201 |    graphs reused =        334
39.11.070.421 I slot      release: id  0 | task 201 | stop processing: n_tokens = 316, truncated = 0
39.11.072.309 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.539 (> 0.100 thold), f_keep = 0.304
39.11.075.903 I slot launch_slot_: id  0 | task 340 | processing task, is_child = 0
39.14.186.327 I slot print_timing: id  0 | task 340 | n_gen =    196, tg =  64.92 t/s, tg_3s =  65.26 t/s
39.15.263.972 I slot print_timing: id  0 | task 340 | prompt eval time =     106.84 ms /   178 tokens (    0.60 ms per token,  1666.06 tokens per second)
39.15.263.974 I slot print_timing: id  0 | task 340 |        eval time =    4081.22 ms /   266 tokens (   15.40 ms per token,    64.93 tokens per second)
39.15.263.974 I slot print_timing: id  0 | task 340 |       total time =    4188.06 ms /   444 tokens
39.15.263.975 I slot print_timing: id  0 | task 340 |    graphs reused =        597
39.15.264.000 I slot      release: id  0 | task 340 | stop processing: n_tokens = 443, truncated = 0
39.15.265.327 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.596 (> 0.100 thold), f_keep = 0.217
39.15.270.590 I slot launch_slot_: id  0 | task 607 | processing task, is_child = 0
39.17.856.165 I slot print_timing: id  0 | task 607 | prompt eval time =     105.17 ms /   161 tokens (    0.65 ms per token,  1530.80 tokens per second)
39.17.856.167 I slot print_timing: id  0 | task 607 |        eval time =    2480.39 ms /   163 tokens (   15.31 ms per token,    65.31 tokens per second)
39.17.856.167 I slot print_timing: id  0 | task 607 |       total time =    2585.57 ms /   324 tokens
39.17.856.168 I slot print_timing: id  0 | task 607 |    graphs reused =        757
39.17.856.189 I slot      release: id  0 | task 607 | stop processing: n_tokens = 323, truncated = 0
39.17.858.432 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.585 (> 0.100 thold), f_keep = 0.297
39.17.862.162 I slot launch_slot_: id  0 | task 771 | processing task, is_child = 0
39.19.532.165 I slot print_timing: id  0 | task 771 | prompt eval time =     106.23 ms /   164 tokens (    0.65 ms per token,  1543.85 tokens per second)
39.19.532.168 I slot print_timing: id  0 | task 771 |        eval time =    1563.77 ms /   103 tokens (   15.33 ms per token,    65.23 tokens per second)
39.19.532.168 I slot print_timing: id  0 | task 771 |       total time =    1669.99 ms /   267 tokens
39.19.532.168 I slot print_timing: id  0 | task 771 |    graphs reused =        857
39.19.532.197 I slot      release: id  0 | task 771 | stop processing: n_tokens = 266, truncated = 0
39.19.533.323 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.623 (> 0.100 thold), f_keep = 0.361
39.19.535.488 I slot launch_slot_: id  0 | task 875 | processing task, is_child = 0
